Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,BLK,0,0,0,0,96500000000.0,98510000000.0,16.0,16.13,2.08,4.99,2.57,5.01,11.16,31.2,39.14,3.04,16.42,19680000000.0,129.42,6.8,9820000000.0,8119999999.999999,6140000000.0,39.8,19.8,6930000000.0,45.74,9290000000.0,23.92,1.75,247.08,5100000000.0,5610000000.0,1.28,630.23,786.66,151500000.0,151500000.0,141830000.0,1.1,79.74,2150000.0,1.91,1.44,2049999.9999999998
0,0,BLL,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BMC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BMS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BMY,0,0,0,0,167560000000.0,198360000000.0,27.91,10.33,,3.72,5.31,4.22,10.35,13.31,22.16,6.04,18.08,46960000000.0,21.36,5.2,37050000000.0,21070000000.0,6250000000.0,2.82,-36.8,15200000000.0,7.14,45990000000.0,145.35,1.32,14.83,16200000000.0,14860000000.0,0.48,76.17,66.9,14670000.0,2130000000.0,2130000000.0,0.07,79.2,34460000.0,2.47,1.62,32180000.0
0,0,BRCM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BRK-B,0,0,0,0,614300000000.0,700630000000.0,7.52,20.79,,1.77,1.21,1.98,,29.59,37.9,7.21,17.38,282310000000.0,188765.22,9.6,114860000000.0,117750000000.0,83540000000.0,37.62,-53.4,106260000000.0,72241.16,119660000000.0,23.15,1.24,345368.03,36940000000.0,69500000000.0,0.87,304.11,305.76,4490000.0,1290000000.0,1210000.0,0.45,67.5,8840000.0,2.06,0.77,8660000.0
0,0,BSX,0,0,0,0,54070000000.0,63420000000.0,71.36,21.51,2.25,4.46,3.23,5.21,24.93,6.66,17.47,4.2,4.99,12160000000.0,8.54,10.0,8240000000.0,3220000000.0,756000000.0,0.54,-67.7,325000000.0,0.23,9680000000.0,57.86,1.18,11.71,1530000000.0,1770000000.0,0.82,39.61,42.12,8900000.0,1430000000.0,1420000000.0,0.24,93.11,19020000.0,2.28,1.33,15000000.0
0,0,BTU,0,0,0,0,3380000000.0,3680000000.0,8.05,,,0.85,1.82,1.1,4.53,9.55,8.56,3.81,21.9,3360000000.0,27.86,6.2,765200000.0,596700000.0,295500000.0,2.88,,823300000.0,5.72,1140000000.0,60.03,2.21,12.89,75300000.0,20660000.0,1.19,23.49,17.63,7450000.0,143800000.0,116060000.0,1.03,82.12,14330000.0,2.51,12.17,12510000.0
0,0,BWA,0,0,0,0,8560000000.000001,11540000000.0,12.72,9.26,0.66,0.58,1.21,0.78,6.31,4.57,9.03,5.08,10.99,14700000000.0,61.72,-3.4,2850000000.0,2080000000.0,672000000.0,2.81,207.7,1500000000.0,6.26,4480000000.0,61.05,1.72,29.43,1080000000.0,571120000.0,1.35,37.33,41.9,2140000.0,239580000.0,238070000.0,0.58,97.36,6860000.0,3.79,3.23,7820000.0
